code,number,edition,character,series,quality,wishlists,dropQuality
v2b4zzz,57571,1,Akira Takechi,Clean Freak! Aoyama-kun,3,0,3
v25x10x,21338,2,Mabel's Mawile,Pokémon Advanced,0,2,0
v2573d7,57878,1,Wagon Driver,KonoSuba: God's blessing on this wonderful world! 2,2,1,2
v25tpmh,54535,1,Sakura Okita,Warlords of Sigrdrifa,4,1,4
v25pj5b,9479,4,Chariot Requiem,JoJo's Bizarre Adventure: Golden Wind,2,8,2
v251g2p,57275,1,Shindo,Library War,0,0,0
v25jx6w,8625,4,Pazu,Laputa: Castle in the Sky,2,26,2
v2k8rm3,16636,2,Jeremiah Gottwald,Code Geass: Lelouch of the Rebellion,2,11,2
v2kl67k,57748,1,Dercori,Dragon Ball Super,3,0,3
v2k9vs5,57588,1,Iroha Miyamoto,Sumomomo Momomo,0,1,0
v2krj5t,57770,1,Kikako,Brynhildr in the Darkness,2,0,2
v2wcfqz,6769,3,Sukemori Taira,Heike Monogatari,2,1,2
v2wd2mc,3110,5,Stocking,Panty & Stocking in Sanitary Box,1,195,1
v2wtwx7,5154,1,Melt Narushima,Oshi no Ko,3,2,3
v2ww37h,8894,4,Kurogane's Father,Tsubasa Reservoir Chronicle 2nd Season,2,1,2
v2wq85m,12136,3,Nao Kadena,Great Teacher Onizuka,1,1,1
v22xvx8,19064,3,Reiji Arisu,Namco × Capcom,1,1,1
v22dp1g,14312,3,Elle,Revue Starlight Re LIVE,2,1,2
v224ggp,57752,1,Salama,Amagi Brilliant Park,3,1,3
v2240gq,53157,1,Gundam Jiyan Altron,Gundam Build Divers,1,0,1
v224239,57602,1,Sarasa,Kyoto Animation CM: Ajisai-hen,2,0,2
v225vnd,57794,1,Potepen,Bakutsuri Bar Hunter,2,0,2
v22wvfz,57693,1,Hanako,Kiratto Pri-chan,4,1,4
v22m424,52363,1,Mimu Takahashi,Hang On! Climbing Girls,1,1,1
v2hcgp8,57457,1,Mona Haulia,Arifureta: From Commonplace to World's Strongest,1,1,1
v2q8gzd,8685,4,Aqua,KonoSuba: God's blessing on this wonderful world!,0,810,0
v2hc069,12772,3,Gawr Gura,Hololive EN,2,2104,2
v2hs1kv,22936,1,Ryuzu Bilma,Re:ZERO -Starting Life in Another World- Season 2,0,4,0
v2hdnkj,33223,2,Dorf,That Time I Got Reincarnated as a Slime,0,1,0
v2hpsnp,4226,4,Luchist Lasso,Shaman King,4,0,4
v2hnvpb,57527,1,Sakuta's Mother,Rascal Does Not Dream of Bunny Girl Senpai,1,1,1
v2hn9ds,7499,3,L'Arachel,Fire Emblem: The Sacred Stones,1,9,1
v2hjdmc,57342,1,Ruri Ichigyou,Hello World,3,22,3
