code,number,edition,character,series,quality,wishlists,dropQuality
jvtwdc,9916,1,Rin Tohsaka,Fate/stay night,2,1365,0
j9sdbs,3520,2,Revy,Black Lagoon,2,356,2
j9skv2,7,1,Haniwa Nobbu,Fate/Grand Order,2,1,2
j9dt6f,2,1,Bedivere,Fate/Grand Order,2,5,2
j9d3l6,6710,2,Irina Jelavic,Assassination Classroom,2,47,2
jgr7zv,7476,2,Guts,Berserk,2,1453,2
jvf2sq,6798,2,Atalanta,Fate/Apocrypha,0,19,0
b92n24,10724,1,Itsuki Nakano,The Quintessential Quintuplets,2,1116,2
jrcs0k,6655,2,Goro Akechi,Persona 5 the Animation,2,226,2
jp8ctc,7266,2,Franky,One Piece,2,412,2
b6hk1g,35,1,Monarch of Plagues,Solo Leveling,3,21,3
j49q68,10492,1,Spartacus,Fate/Apocrypha,4,1,4
jjfssl,6154,2,Jean,Genshin Impact,2,301,2
j19wjr,1211,1,Puka,Pokémon,2,5,2
jnvrvc,50,2,Ulamnuran,Granblue Fantasy,4,1,4
jjq66h,7,2,Rosamia,Granblue Fantasy,1,1,1
jbc30x,6957,2,Yui Hirasawa,K-On!,1,224,1
j5m0m8,6516,2,Ryuk,Death Note,3,320,3
jkqcf3,17084,1,Lightning McQueen,Disney Tsum Tsum,1,64,1
jw7q6t,6312,2,Tamaki Amajiki,My Hero Academia 3,3,252,3
jwm0vs,5929,2,Dio Brando,JoJo's Bizarre Adventure,1,1348,1
j227v3,16874,1,Erica,Fate/Kaleid Liner Prisma Illya 3rei!!,2,1,2
jqbxhs,6399,2,Atalanta (Alter),Fate/Apocrypha,2,12,2
j05bst,10473,1,Annie Leonhart,Attack on Titan,2,213,2
j0qrjq,10702,1,Ibuki Mioda,Danganronpa 2: Goodbye Despair,4,158,4
vpwtzf,2812,1,Akeno Himejima,High School DxD,4,2363,2
jmwzdr,159,1,David Brennon,Solo Leveling,0,1,0
bcd6h4,6674,2,Finral Roulacase,Black Clover,1,24,1
b6cfsn,1333,2,Inverse Tohka,Date a Live,3,78,3
bxrc90,6389,2,Souma Yukihira,Food Wars! Shokugeki no Souma,3,328,3
b6f61w,16891,1,Heavens Arena 200th Floor Clerk,Hunter x Hunter,0,1,0
b616gt,5691,2,Sucy Manbavaran,Little Witch Academia,2,55,2
b6nbr5,6734,2,Dimitri Alexandre Blaiddyd,Fire Emblem: Three Houses,2,162,2
bx408x,8879,1,Houshou Marine,Hololive: Holo no Graffiti,0,397,0
bxklpr,265,2,Big the Cat,Sonic X,1,13,1
bxv3xs,16545,1,Llamrei,Fate/Grand Order,3,1,3
bs5pq4,4945,1,Pavolia Reine,Hololive ID,2,58,2
bsk57b,5965,2,Shinichi Izumi,Parasyte -the maxim-,0,117,0
bsm8kg,6343,2,Tamaki Kotatsu,Fire Force,2,607,2
bd4n14,16576,1,Rama,Fate/Grand Order,2,1,2
b7tl99,16498,1,Marisbury Animusphere,Fate/Grand Order,4,2,4
b97kg7,16321,1,Anne,Fate/Extra Last Encore,0,0,0
bg48td,5902,2,Dark Sakura,Fate/stay night: Heaven's Feel II. lost butterfly,0,93,0
b88k8c,6403,2,Tadaomi Karasuma,Assassination Classroom,3,25,3
b8zjsm,6622,2,Sinon,Sword Art Online II,2,620,2
bf6b50,9945,1,Saber,Fate/stay night,2,1285,2
bfdq8f,751,2,Rei Suzukawa,Mankitsu Happening,2,311,2
hwgnq7,7557,1,Asta,Black Clover,2,1504,2
ww296g,216,1,Herrscher of Wind,Honkai Impact 3rd,3,15,3
qcs5fj,7134,1,Koutarou Bokuto,Haikyuu!! Second Season,2,356,0
wfk7ns,8228,1,Darkness,KonoSuba: God's blessing on this wonderful world!,2,471,2
207bds,715,2,Death the Kid,Soul Eater,1,336,1
ktrzfr,9451,1,Nao Tomori,Charlotte,3,378,3
hg620c,7850,1,Tetsurou Kuroo,Haikyuu!!,1,300,1
bk0hl2,4258,2,Gintoki Sakata,Gintama,0,583,0
b5mmxq,5203,2,Boosted Gear,High School DxD,2,4,2
2b2bkk,7583,1,Guts,Berserk,2,1453,2
bv9nhh,5682,2,Mitsuri Kanroji,Demon Slayer: Kimetsu no Yaiba,0,2093,0
2ztmzk,7662,1,Takumi Usui,Kaichou wa Maid-sama!,3,273,3
w9nh68,1821,2,Sniper Mask,High-Rise Invasion,1,336,1
bhmffk,5393,2,Archer,Fate/stay night,1,158,1
hlz77w,1127,2,Saber (Alter),Fate/stay night: Heaven's Feel II. lost butterfly,1,274,1
wc1z1z,2683,2,Esdeath,Akame ga Kill!,4,1649,2
b9gp60,1470,2,White Sister Ram,Hyperdimension Neptunia,0,4,0
b9pcz7,6295,2,Mine,Akame ga Kill!,2,249,2
bgsvx2,5899,2,Mimosa Vermillion,Black Clover,2,57,2
bgd0hf,5997,2,Archimedes,Fate/EXTELLA,3,1,3
bgqkn1,16207,1,Mephistopheles,Fate/Grand Order,3,2,3
bg0k1h,6401,2,Monika,Doki Doki Literature Club!,4,530,4
b38v1d,16083,1,Mona Haulia,Arifureta: From Commonplace to World's Strongest,4,1,4
brcw1h,781,2,Minato Hinageshi,Ride Your Wave,1,21,1
brj4fv,1241,2,Tsunayoshi Sawada,REBORN!,1,170,1
bpfgjf,77,2,Yoshiko Akiyama,Girls und Panzer,1,1,1
bpwn81,2977,2,Yuuma Kunimi,Rascal Does Not Dream of Bunny Girl Senpai,2,1,2
b41lwt,5939,2,Petra Leyte,Re:ZERO -Starting Life in Another World-,1,6,1
bzst26,6190,2,Lisa,Genshin Impact,4,277,3
0hhbjr,1057,1,Tsukasa Yuzaki,Tonikaku Kawaii,4,490,3
bz6px6,5672,2,Izaya Orihara,Durarara!!,2,99,2
bzx904,5617,2,Setagaya Mari,Itadaki! Seieki,1,306,1
b1czsc,5037,2,Chihaya,Senran Kagura: New Wave,3,18,3
b1fqzz,1313,2,Atsushi Sendo,Tokyo Revengers,1,31,1
bnd6cm,6082,2,Spartacus,Fate/Apocrypha,3,1,3
bntxb3,9920,1,Asia Argento,High School DxD,3,116,3
bnl8ws,6112,2,Pokkle,Hunter x Hunter,2,8,2
bnq46r,15950,1,Joujirou Takajou,Charlotte,2,2,2
bbxbvf,9895,1,Erza Scarlet,Fairy Tail,1,1011,1
bb93p0,4984,1,Maria Arusu,Date A Live: Ars Install,2,4,2
bbjj15,6011,2,Kyouko Hori,Horimiya,4,1440,0
b59r2q,5010,2,Imu,Senran Kagura: Shinovi Versus,4,10,4
bk2nbw,5910,2,Echidna,Re:ZERO -Starting Life in Another World- Season 2,1,343,1
b2x2wj,6077,2,Mash Kyrielight,Fate/Grand Order,2,265,2
b2m439,2958,2,Enmu,Demon Slayer: Kimetsu no Yaiba,0,114,0
csxr5,1903,1,Saber,Fate/stay night,4,1285,2
bhp19l,5434,2,Ray,The Promised Neverland,1,210,1
bh2gd0,15402,1,Uzuki Hirokawa,Rascal Does Not Dream of Bunny Girl Senpai,1,1,1
b0g8qm,5734,2,Elizabeth Liones,The Seven Deadly Sins,2,155,2
qbjlz4,5933,1,Jeanne d'Arc (Alter),Fate/Grand Order,3,366,3
56zl38,4867,1,Anti-Sensei BB Gun,Assassination Classroom,1,1,1
5dljv3,5779,2,Emilia,Re:ZERO -Starting Life in Another World-,2,1269,2
5dkmms,5077,2,Natsuki,Doki Doki Literature Club!,4,336,3
597qzg,5288,2,Stella Vermillion,Chivalry of a Failed Knight,1,297,1
k8xfnm,4355,2,Stella Vermillion,Chivalry of a Failed Knight,2,297,2
kvhfkr,3431,2,Eishi Tsukasa,Food Wars! Toutsuki Juukketsu,2,16,2
598qj8,14733,1,EMIYA (Alter),Fate/Grand Order,2,1,2
5hd1gd,4582,1,Lanterby,Food Wars! The Fifth Plate,2,1,2
5175sn,14268,1,Lion King,Fate/Grand Order,2,3,2
5jqw3r,5218,2,Anne,Food Wars! The Third Plate: Totsuki Train Arc,1,1,1
5tsl1w,1825,2,Vivy,Vivy: Fluorite Eye's Song,2,311,2
5tzt5t,5131,2,Fil Nilvaren,No Game No Life,0,9,0
59g6r2,5384,2,Kuroka,High School DxD BorN,2,51,2
59n11s,1380,2,Herrscher of Wind,Honkai Impact 3rd,2,15,2
5g9b53,3951,1,Yuri Honjou,High-Rise Invasion,3,63,3
5318wv,4416,2,Nanika,Hunter x Hunter (2011),3,68,3
5rdlwp,4774,1,Lanterby,Food Wars! The Fifth Plate,2,1,2
54nxsj,5022,2,Yuji Itadori,Jujutsu Kaisen,2,3147,2
5njg9g,4876,2,Usada Pekora,Hololive: Holo no Graffiti,0,352,0
5jswsk,14443,1,Gyro,Hunter x Hunter (2011),2,2,2
5jld4r,160,1,Orange Heart,Megadimension Neptunia VII,2,1,2
5jfdft,4588,2,Commissioner S,The God of High School,2,1,2
52h954,9654,1,Lancer,Fate/Prototype,2,3,2
5qjm1z,4756,2,Atalanta,Fate/Apocrypha,4,19,4
5wtx2j,4379,2,Saver,Fate/Extra Last Encore,2,1,2
5w8dcp,129,2,Nao Kamiya,The iDOLM@STER: Cinderella Girls,2,1,2
5w01jz,9224,1,Erina Nakiri,Food Wars! Shokugeki no Souma,2,452,2
5wv553,8471,1,Yukihana Lamy,Hololive: Holo no Graffiti,3,110,3
5wmht6,4180,2,Tony Tony Chopper,One Piece,3,1154,3
5hl65b,9149,1,Joker,Fire Force,4,169,4
5h0pc0,2302,1,Akari Nitta,Jujutsu Kaisen,2,9,2
50xvhb,4695,2,Pitou,Hunter x Hunter (2011),3,240,3
50rgt3,3391,2,Yuri Honjou,High-Rise Invasion,3,63,3
50pn2d,3979,2,Rui Tachibana,Domestic Girlfriend,3,232,3
504bv1,4389,2,Wing,Hunter x Hunter,2,7,2
5v1cqc,4128,2,Brynhildr,Fate/Prototype: Sougin no Fragments,1,14,1
50hspp,8003,1,Prince of Lan Ling,Fate/Grand Order,2,4,2
5v9zfr,9202,1,Christa Lenz,Attack on Titan,2,111,2
kk55bp,9007,1,Saber,Fate/Prototype,1,23,1
kxrpr3,13514,1,Gaius Julius Caesar,Fate/Grand Order,2,1,2
kcm90p,4921,2,Mei Misaki,Another,2,203,2
k63s6g,3926,2,Gakuhou Asano,Assassination Classroom,0,1,0
kx7ld5,4714,2,Utaha Kasumigaoka,Saekano: How to Raise a Boring Girlfriend,2,69,2
kdcr0v,704,2,Kinoko Komori,My Hero Academia 2,1,16,1
kdvnzx,3320,2,Pineapple Bun,Food Fantasy,1,1,1
kr6hp2,12960,1,Roche Frain Yggdmillennia,Fate/Apocrypha,0,1,0
kl74dg,4219,2,Palm Siberia,Hunter x Hunter (2011),2,15,2
kfhnxr,5629,1,Elaina,Wandering Witch: The Journey of Elaina,2,390,2
k97t94,3528,2,Shiro,Deadman Wonderland,3,110,3
kgqbx1,13229,1,Angelica,Fate/Kaleid Liner Prisma Illya 3rei!!,4,1,4
kgqbxj,4268,2,Shirou Emiya,Fate/stay night,3,122,3
kp3cvq,12792,1,Kadoc Zemlupus,Fate/Grand Order,0,12,0
k412w4,12994,1,Trimmau,Fate/Apocrypha,2,0,2
kg0kmk,9091,1,Shirley,Fate/Zero 2,2,1,2
h3n0c6,71,2,Jean,Genshin Impact,4,301,1
k333nl,45,2,Rio Yamamoto,"Omoi, Omoware, Furi, Furare",4,2,4
vt0wrl,3220,1,Gilgamesh,Fate/stay night,2,359,2
080b9w,4817,1,Rin Tohsaka,Fate/stay night,3,1365,3
28zsj2,1717,2,Dark Sakura,Fate/stay night: Heaven's Feel II. lost butterfly,2,93,2
7q29t,1466,1,Astolfo,Fate/Apocrypha,2,997,2
vt4gf4,3182,1,Rin Tohsaka,Fate/stay night,4,1365,1
qn2ndm,6050,1,Astolfo,Fate/Apocrypha,2,997,2
z7m9z,940,1,Saber,Fate/stay night,4,1285,2
wd8x00,3147,2,Ereshkigal,Fate/Grand Order,1,189,1
kr1342,4067,2,Ulquiorra Schiffer,Bleach,3,428,3
k4dtl6,4055,2,Ferris,Re:ZERO -Starting Life in Another World-,2,292,2
kzc43n,260,2,Pony Tsunotori,My Hero Academia 2,2,3,2
kbvlxt,9128,1,Ereshkigal,Fate/Grand Order,1,189,1
kzs2k8,4021,2,Sasha Necron,Maou Gakuin no Futekigousha,1,63,1
kzs2wr,4229,2,Gilgamesh,Fate/stay night,2,359,2
kzvzwh,12862,1,Charles-Henri Sanson,Fate/Grand Order,4,2,4
k1c3ln,9718,1,Kyo Sohma,Fruits Basket,2,404,2
k169hl,4033,2,Hinata Hyuuga,Naruto,4,977,4
k170z2,4191,2,Guren Ichinose,Seraph of the End: Battle in Nagoya,4,204,4
k1nv0z,3500,2,Hunter License,Hunter x Hunter,1,10,1
kjcw5w,3569,2,Sogeking,One Piece,0,81,0
kj9c4n,9433,1,Chikagi Katsuragi,Carnival Phantasm,3,1,3
kbp64v,3971,2,Saber (Alter),Fate/stay night: Heaven's Feel II. lost butterfly,0,274,0
p8n28,1022,1,Gilgamesh,Fate/stay night,2,359,2
1dhs5,789,1,Nero Claudius,Fate/Extra Last Encore,2,125,2
rxvs9,1045,1,Astolfo,Fate/Apocrypha,3,997,1
kbk706,8285,1,Dark Sakura,Fate/stay night: Heaven's Feel II. lost butterfly,2,93,2
vk65pt,2348,1,Saber (Alter),Fate/stay night: Heaven's Feel II. lost butterfly,2,274,0
2qb6tw,7439,1,Saber,Fate/stay night,2,1285,2
qwdtnt,64,1,Miyamoto Musashi,Fate/Grand Order,4,136,2
kb5lwv,12442,1,Altria Pendragon (Alter),Fate/Grand Order,3,110,3
qx1pq3,95,2,Saber,Fate/stay night,4,1285,2
hqf67f,517,2,Gilgamesh,Fate/stay night,1,359,1
k535lc,12728,1,Angelica,Fate/Kaleid Liner Prisma Illya 3rei!!,4,1,4
k5rxww,3602,2,Saber,Fate/Prototype,2,23,2
kk4jz4,12426,1,Sherlock Holmes,Fate/Grand Order,2,6,2
hrsbbl,56,2,Jean,Genshin Impact,4,301,2
kwc0fp,9603,1,Chloe Aubert,That Time I Got Reincarnated as a Slime,1,11,1
kw6kfg,2930,2,Rin Matsuoka,Free! - Iwatobi Swim Club,3,127,3
kw6k3p,3463,2,Akane Owari,Danganronpa 2: Goodbye Despair,3,31,3
kwr8ff,12645,1,Risei Kotomine,Fate/Zero,4,1,4
kqfj5x,646,2,Acnologia,Fairy Tail,2,25,2
k08ckj,3149,2,Seijuurou Akashi,Kuroko's Basketball,1,185,1
k0531k,3533,2,Byakuya Kuchiki,Bleach,2,213,2
kvk8th,12092,1,Cú Chulainn (Caster),Fate/Grand Order,1,6,1
kvcdl2,12186,1,Acier Silva,Black Clover,0,1,0
km63cd,2838,2,Ran,KonoSuba – God's blessing on this wonderful world! 2 OVA,2,1,2
kmplc4,8377,1,Atsushi Nakajima,Bungou Stray Dogs,0,270,0
kmzrvz,8734,1,Mio Naruse,The Testament of Sister New Devil,2,223,2
km1pj7,1441,2,Hu Tao,Genshin Impact,4,4414,2
kmnp8n,2782,2,Mirio Togata,My Hero Academia 3,4,141,4
2b5m0s,7553,1,Saber,Fate/stay night,2,1285,2
wc2rdl,2929,2,Lorina Lilin,Epic Seven,3,1,3
wxwtfz,8960,1,Julius Bistario Harway,Fate/Extra Last Encore,2,1,2
w6svq1,7265,1,Keqing,Genshin Impact,4,1198,4
w6wbqt,12027,1,Magical Sapphire,Fate/kaleid liner PRISMA ILLYA,2,1,2
wx9mkg,1303,2,Falco Grice,Attack on Titan: The Final Season,0,35,0
wxnz4v,3454,2,Saber,Fate/stay night,0,1285,0
wxjl29,2577,2,Diona,Genshin Impact,2,139,2
wscbl2,3584,2,Puck,Re:ZERO -Starting Life in Another World-,4,50,4
wsl3ds,2806,2,Itsuki Nakano,The Quintessential Quintuplets,2,1116,2
ws49pn,8317,1,Ishtar,Fate/Grand Order,0,396,0
ws1576,12044,1,Shironiji,Log Horizon 2,1,0,1
wdgf4f,8677,1,Kirari Momobami,Kakegurui,1,239,1
wtdrl6,3433,2,Chrome,Dr. Stone,2,33,2
w8cnx9,3155,2,Henry Legolant,Black Clover,0,12,0
w8648l,6109,1,Io,Code Vein,0,24,0
w8lbmd,11645,1,Meroune Lorelei,Monster Musume no Iru Nichijou,0,24,0
w84p88,3363,2,Yuri Zahard,Tower of God,4,122,4
w81s3l,2861,2,Touka Kirishima,Tokyo Ghoul,0,509,0
hs4wx6,1366,2,Ai Hayasaka,Kaguya-sama: Love Is War,1,932,1
w8w36j,3367,2,Souna Sitri,High School DxD,3,2,3
w8wpx2,662,1,Haruta Shigemo,Jujutsu Kaisen,2,1,2
w82tl3,3521,2,Takumi Aldini,Food Wars! Shokugeki no Souma,1,19,1
wl6l28,11679,1,Valkyrie,Cautious Hero: The Hero Is Overpowered but Overly Cautious,2,7,2
wl2ffx,11583,1,Kaede Honjou,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",3,8,3
wf56f4,2438,2,Mina Ashido,My Hero Academia,1,140,1
wfqjgb,5520,1,Baal Chanel,Epic Seven,3,1,3
wfvzft,11446,1,Ichika Kaneki,Tokyo Ghoul:re 2nd Season,1,20,1
w968fw,515,1,Akari Nitta,Jujutsu Kaisen,0,9,0
w9xsdb,3269,2,Rebecca,One Piece,1,19,1
w9sbp1,3424,2,Lanterby,Food Wars! The Fifth Plate,3,1,3
w99b66,496,2,U-1196,Cells at Work! CODE BLACK!,2,38,2
wrxzrl,2165,2,Leonardo Bistario Harway,Fate/Extra Last Encore,4,1,4
w92gxq,9605,1,Creditta,Princess Connect! Re: Dive,4,1,4
w9hkpl,2713,2,Lumiere Silvamillion Clover,Black Clover,3,2,3
w9hq80,3113,2,Gabriel Miller,Sword Art Online: Alicization,2,1,2
w9hq96,3335,2,Shoot McMahon,Hunter x Hunter (2011),2,3,2
w9m92h,2751,1,Mai,Senran Kagura: New Wave,3,2,3
wg6flh,3149,2,Inugami Korone,Hololive: Holo no Graffiti,0,393,0
wg7tn1,2362,2,Mafuyu Sato,Given,1,256,1
wgft9b,2431,2,Tamaki Suoh,Ouran High School Host Club,3,174,3
wg9bgw,2996,2,Megumi Katou,Saekano: How to Raise a Boring Girlfriend,3,183,3
wg18lj,2178,2,Senkou,Senran Kagura: New Link,2,7,2
w3dpfq,2139,2,Bashou,Senran Kagura: New Wave,3,80,3
w3890c,2823,2,Lancer,Fate/stay night,2,81,2
w3z131,2275,2,Ash's Pikachu,Pokémon,3,192,3
w35jb9,2797,2,Vlad III,Fate/Apocrypha,3,3,3
wrt5p9,8129,1,Courage,Food Wars! The Fourth Plate,2,2,2
wrlb84,2703,2,Zora Ideale,Black Clover,2,43,2
wrfd1s,2523,2,Shuna,That Time I Got Reincarnated as a Slime,2,241,2
wr058b,11418,1,Ryuunosuke Uryuu,Fate/Zero,1,1,1
wp62v8,3019,2,Spartacus,Fate/Apocrypha,1,1,1
wp4c91,2486,2,Tsuchigomori,Toilet-Bound Hanako-kun,2,145,2
wpzzk2,2646,2,Miyoko Houjou,Food Wars! Shokugeki no Souma,3,1,3
wpnszx,2785,2,Panda,Jujutsu Kaisen,4,232,4
25l7nh,824,2,Jean,Genshin Impact,1,301,1
w4876l,3110,2,Ryouna,Senran Kagura: Shinovi Versus,2,11,2
w4jfhj,243,1,Cursed Corpse Bear,Jujutsu Kaisen,2,3,2
w4vhxv,10108,1,Kanon,Maou Gakuin no Futekigousha,2,2,2
wzcq2g,2578,2,Noelle,Genshin Impact,3,202,3
wz60wr,2988,2,Park Ilpyo,The God of High School,1,36,1
w031t6,2591,2,Hibana,Fire Force,0,264,0
wj7s4z,2213,2,Kotone Shirakawa,Overflow,1,366,1
2ds2pc,2268,2,Ayane Shirakawa,Overflow,1,593,1
wzxscz,8669,1,Tio Klarus,Arifureta: From Commonplace to World's Strongest,2,32,2
wzk0kb,2559,2,Itachi Uchiha,Naruto,3,2501,3
wzw22d,7891,1,Undine,Black Clover,2,1,2
wzq1qm,9021,1,Takiguri,Sword Art Online: Alicization - War of Underworld,2,1,2
wntrqv,2397,2,Commissioner R,The God of High School,3,3,3
wn8p8s,3110,2,Alicia Rue,Sword Art Online,0,2,0
wnrz9z,3818,1,Lucifer,Obey Me!,1,204,1
wnjh71,3142,2,Yui,Sword Art Online,2,123,2
wnk8sg,2421,2,Velvet Crowe,Tales of Berseria,1,80,1
wnqh7t,2886,2,Ponzu,Hunter x Hunter,2,7,2
w5dd15,10893,1,Llamrei,Fate/Grand Order,1,1,1
2j54mm,1451,2,Merlin,Fate/Grand Order,2,57,2
wb32vg,2176,2,Kotone Shirakawa,Overflow,2,366,2
2j8j7f,1821,2,Darkness,KonoSuba: God's blessing on this wonderful world!,4,471,1
28bz3w,2331,2,Saber (Alter),Fate/stay night: Heaven's Feel II. lost butterfly,2,274,2
vv74xm,1990,1,Saber (Alter),Fate/stay night: Heaven's Feel II. lost butterfly,3,274,3
qld00r,2155,1,Saber Lion,Carnival Phantasm,1,23,1
wk4p0v,2760,2,Franklin,Hunter x Hunter,2,12,2
29t3l1,2226,2,Saber (Alter),Fate/stay night: Heaven's Feel II. lost butterfly,2,274,2
wk1wk2,2356,2,Yahaba,Demon Slayer: Kimetsu no Yaiba,2,3,2
wkbwll,1877,2,Black Widow,Iron Man: Rise of Technovore,1,14,1
wkkhm6,2032,2,Siune,Sword Art Online II,1,1,1
wk0737,2534,2,Megumi Katou,Saekano: How to Raise a Boring Girlfriend,2,183,2
ww6q3g,8849,1,Keishin Ukai,Haikyuu!!,2,26,2
wwtqgq,10972,1,Grainne,Fate/Zero,2,1,2
ww99nw,8702,1,Schwi Dola,No Game No Life: Zero,1,139,1
wwz3tl,95,1,Nanaka Kyan,SK8 the Infinity,2,1,2
wwkvcg,2562,2,Coro,Akame ga Kill!,3,3,3
wwkv6k,7983,1,Levi,Attack on Titan,2,3149,2
wwh37s,2266,2,Ikumi Mito,Food Wars! Shokugeki no Souma,4,49,4
ww0pvc,2248,2,Lumiere Silvamillion Clover,Black Clover,2,2,2
wwvbp3,10,1,Female Ordinary Cell,Cells at Work! CODE BLACK!,2,2,2
w2gnhd,2148,2,Yuuto Kiba,High School DxD,2,18,2
w2pp69,2374,2,Gajeel Redfox,Fairy Tail,2,73,2
w241q7,2258,2,Tatsumaki,One-Punch Man,1,465,1
whddkz,8116,1,Ray Akaba,Yu-Gi-Oh! Arc-V,3,1,3
wh7bps,2618,1,Beer (SP),Food Fantasy,4,1,4
2m30fs,1129,2,Mia Karnstein,Code Vein,2,9,2
wq9d43,2831,2,Emilia,Re:ZERO -Starting Life in Another World-,2,1269,2
wqpxst,300,2,Eve Reese,Redo of Healer,3,65,3
h1cjlr,888,2,Ishtar,Fate/Grand Order,2,396,2
wqnc8d,2583,2,Saber,Fate/stay night,4,1285,2
wq5vvb,4650,1,Fallen Cecilia,Epic Seven,4,3,4
h0b9sv,5660,1,Ayane Shirakawa,Overflow,3,593,3
wqwnbc,8802,1,Itachi's Susanoo,Naruto Shippuden,2,43,2
wq24n2,2477,2,Beidou,Genshin Impact,3,538,3
v45sh6,2646,1,Jeanne d'Arc,Fate/Apocrypha,2,180,2
w047dx,10457,1,Altria Pendragon (Alter),Fate/Grand Order,2,110,2
qthzmv,100,2,Ishtar,Fate/Grand Order,4,396,2
wqqrfp,1925,2,Perona,One Piece,1,212,1
210m21,919,2,Chizuru Mizuhara,"Kanojo, Okarishimasu",3,876,2
h8jh3d,340,2,Izuna Hatsuse,No Game No Life,1,37,1
23tlld,1811,2,Klaus Lunettes,Black Clover,1,1,1
2wkf2s,1543,2,Stella Vermillion,Chivalry of a Failed Knight,4,297,3
hjr8db,38,2,Rades Spirito,Black Clover,2,3,2
2cjf9j,2246,2,Chisato Hasegawa,The Testament of Sister New Devil,1,40,1
26tpr3,2434,2,Sasha Necron,Maou Gakuin no Futekigousha,0,63,0
2c3rmr,2028,2,Mimosa Vermillion,Black Clover,4,57,4
wvgkbt,7982,1,Saber (Alter),Fate/stay night: Heaven's Feel II. lost butterfly,0,274,0
26zvzk,2078,2,Astolfo,Fate/Apocrypha,4,997,4
wv3xmh,8627,1,Priscilla Barielle,Re:ZERO -Starting Life in Another World-,3,4,3
hf50bc,943,2,Secre Swallowtail,Black Clover,1,339,1
wvr2j7,10765,1,Whis,Dragon Ball Super,2,22,2
wvp9wg,10586,1,Byakuya Ishigami,Dr. Stone,4,5,4
wmjd5j,1645,2,Kite,Hunter x Hunter,3,127,3
qzzxtg,4812,1,Ayane Shirakawa,Overflow,2,593,2
2q3znm,6252,1,Ayane Shirakawa,Overflow,2,593,1
wvbqjf,1835,2,Hanako Koyanagi,Wotakoi: Love is Hard for Otaku,3,69,3
wmn5lj,1766,2,Grey,Black Clover,3,17,3
wm7fmj,8097,1,Yuya Sakaki,Yu-Gi-Oh! Arc-V,4,29,4
wmt7ml,1386,2,Mousse,Food Fantasy,4,1,4
wmt7mj,10502,1,Dimitri Blint,Black Clover,1,0,1
2p5254,2051,2,Charlotte Roselei,Black Clover,2,21,2
hd56rx,1126,2,Tamamo-no-Mae,Fate/EXTRA,2,88,2
h6v00q,1240,2,Irisviel von Einzbern,Fate/Zero,0,28,0
wmldpz,2262,2,Mia Karnstein,Code Vein,3,9,3
26hdt8,1581,2,Leorio Paladiknight,Hunter x Hunter,0,250,0
wmr9k8,2534,2,Gabriel Tenma White,Gabriel Dropout,2,43,2
wm1b84,2312,2,Christa Lenz,Attack on Titan,3,111,3
2m93mw,1297,2,Alluka Zoldyck,Hunter x Hunter (2011),0,148,0
29qc6w,2225,2,Yufine,Epic Seven,0,34,0
2cc80k,1394,2,Snowskin Mooncake,Food Fantasy,2,3,2
2cfk9c,1673,2,Bang,One-Punch Man,2,16,2
2c9bfp,10712,1,Risei Kotomine,Fate/Zero,0,1,0
2f40kz,2314,2,Sinon,Sword Art Online II,2,620,2
26bgln,7291,1,Yukihana Lamy,Hololive: Holo no Graffiti,3,110,3
2l4j2k,1802,2,Maple,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",2,239,2
2dh6z8,7855,1,Saber (Alter),Fate/stay night: Heaven's Feel II. lost butterfly,2,274,2
2ph8q4,1392,2,Naofumi Iwatani,The Rising of the Shield Hero,2,364,2
vrcrgq,2992,1,Rio Futaba,Rascal Does Not Dream of Bunny Girl Senpai,2,442,2
269dmk,2221,2,Pikachu,Pokémon,2,279,2
263k5j,2017,2,Shoko Makinohara,Rascal Does Not Dream of Bunny Girl Senpai,0,66,0
2602gq,10097,1,Tristan,Fate/Grand Order,2,5,2
2x5z8t,2548,2,Mirai,Senran Kagura: Portrait of Girls,1,6,1
2xk471,1949,2,Rinko Koujiro,Sword Art Online: Alicization,4,1,4
2xvnnn,1523,2,Koutarou Bokuto,Haikyuu!! Second Season,2,356,2
2scjgl,10324,1,Rikopin,Log Horizon,2,0,2
2s9dkx,1708,2,Kaijin,That Time I Got Reincarnated as a Slime,2,1,2
2drz8z,10212,1,Linda,Hyperdimension Neptunia,3,1,3
2dzgtr,1919,2,Father Spider Demon,Demon Slayer: Kimetsu no Yaiba,0,1,0
2l7bvh,1521,2,Azami Nakiri,Food Wars! The Third Plate,3,2,3
279b22,10256,1,Kirschtaria Wodime,Fate/Grand Order,4,1,4
27r1nf,304,1,Fortuna,Re:ZERO -Starting Life in Another World- Season 2,2,6,2
29q2cg,2255,2,Illyasviel von Einzbern,Fate/stay night,2,92,2
2p1csp,1447,2,Dark Sakura,Fate/stay night: Heaven's Feel II. lost butterfly,0,93,0
29klf0,2077,2,Saber,Fate/stay night,2,1285,0
2b9q8v,1664,2,Stella Vermillion,Chivalry of a Failed Knight,2,297,2
23btwc,1928,2,Stella Vermillion,Chivalry of a Failed Knight,2,297,2
hdsngj,1344,2,Gilgamesh,Fate/stay night,2,359,2
2r1vs1,1127,2,Wiz,KonoSuba: God's blessing on this wonderful world!,2,127,2
27j9tm,2260,2,Saber,Fate/stay night,2,1285,2
